# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 04 Dec 2018 15:16:18
 0> <info> app: Unplug USE Detect
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: Right Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	HR sample count 707
 0> <info> app: Peak Index,
 0> ,118,220,326,417,519,616
 0> ,END Peak Index,<info> app: HR Index,
 0> ,69,66,77,69,72<info> app: HR Mean 70 
 0> <info> app: HR SD 3.72 
 0> <info> app: ^_^ Final HR 70 
 0> <info> app: Peak Index,
 0> ,67,89,137,161,179,185,205,287,296,348,355,360,365,378,384,388,395,404,443,470,495,518,572,590,650
 0> ,END Peak Index,<info> app: HR Index,
 0> ,65,147,137,98,86,136,136,136,51,131,137,118<info> app: HR Mean 114 
 0> <info> app: HR SD 30.69 
 0> 
 0> SPO2,127,115120,138752,-1.00,0
 0> SPO2,128,115108,138750,-3.00,0
 0> SPO2,129,115111,138752,-1.00,0
 0> SPO2,130,115109,138751,-1.00,0
 0> SPO2,131,115099,138751,-1.00,0
 0> SPO2,132,115107,138753,0.00,0
 0> SPO2,133,115113,138736,-16.00,-1
 0> SPO2,134,115120,138744,-7.00,-1
 0> SPO2,135,115113,138746,-5.00,0
 0> SPO2,136,115114,138745,-6.00,-1
 0> SPO2,137,115106,138745,-5.00,0
 0> SPO2,138,115113,138749,-1.00,0
 0> SPO2,139,115116,138747,-3.00,0
 0> SPO2,140,115105,138756,5.00,0
 0> SPO2,141,115113,138748,-2.00,0
 0> SPO2,142,115114,138743,-7.00,0
 0> SPO2,143,115108,138740,-10.00,0
 0> SPO2,144,115112,138752,2.00,0
 0> SPO2,145,115102,138748,-1.00,0
 0> SPO2,146,115111,138744,-5.00,0
 0> SPO2,147,115119,138745,-4.00,0
 0> SPO2,148,115104,138746,-3.00,0
 0> SPO2,149,115108,138755,5.00,0
 0> SPO2,150,115116,138756,6.00,1
 0> SPO2,151,115106,138736,-13.00,-1
 0> SPO2,152,115111,138757,8.00,0
 0> SPO2,153,115112,138757,7.00,0
 0> SPO2,154,115106,138755,5.00,0
 0> SPO2,155,115119,138751,0.00,0
 0> SPO2,156,115126,138757,6.00,0
 0> SPO2,157,115099,138756,5.00,0
 0> SPO2,158,115116,138747,-3.00,-1
 0> SPO2,159,115126,138752,1.00,0
 0> SPO2,160,115120,138755,4.00,0
 0> SPO2,161,115126,138740,-10.00,-1
 0> SPO2,162,115113,138756,5.00,0<info> app: ***********  Application started  ***********
 0> 
 0> <info> app: [OK] NRF Power ON 0x0002. 
 0> <info> app: Read MAC:D992B26C8203
 0> <info> app: ***********  Sensor initial ***********
 0> <info> app: [OK]	BMI160
 0> <info> app: [OK]	SETUP ACC
 0> <info> app: [OK]	SETUP STEP COUNT
 0> <info> app: [OK]	FLASH MEMORY
 0> <info> app: [OK]	Read and using configuration in flash memory
 0> <info> app: [OK]	Using queue setting from flash memory
 0> <info> app: gender in flash 1
 0> <info> app: [OK]	OLED Initial
 0> <info> app: [OK]	Max30102 Initial, Temperature 17.50
 0> <info> app: ********** End sensor initial *********
 0> 
 0> <info> app: Erase bonds!
 0> <info> app: BLE_ADV_EVT_FAST
 0> <info> app: advertising is started
 0> <info> app: [FALL] Device restart detected. It require setup timer from flash memory
 0> 
 0> <info> app: [OK]	FLASH MEMORY
 0> <info> app: [OK] Pedo data with pages 1304
 0> 
 0> <error> app: [OK] Unix Time in flash 1543911679
 0> <error> app: [OK] Unix Time in flash 1543911689
 0> <error> app: [OK] Unix Time in flash 1543911699
 0> <error> app: [OK] Unix Time in flash 1543911709
 0> <error> app: [OK] Unix Time in flash 1543911719
 0> <error> app: [OK] Unix Time in flash 1543911729
 0> <error> app: [OK] Unix Time in flash 1543911739
 0> <error> app: [OK] Unix Time in flash 1543911749
 0> <info> app: BATT Reading...
 0> <info> app: ALERT_BT_CHECK_WAIT_KRY
 0> <info> app: ALERT_BT_CHECK_WAIT_KRY
 0> <info> app: ALERT_BT_CHECK_WAIT_KRY
 0> <info> app: ALERT_BT_CHECK_WAIT_KRY
 0> <info> app: BATT Reading...
