# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,317,77044,95086,-9.00,-1,-3
 0> hr,318,77050,95083,-9.00,-1,-6
 0> hr,319,77043,95090,-9.00,-1,1
 0> hr,320,77033,95095,-9.00,-1,5
 0> hr,321,77037,95086,-9.00,-1,-3
 0> hr,322,77044,95081,-9.00,-1,-8
 0> hr,323,77038,95094,-9.00,-1,5
 0> hr,324,77035,95077,-9.00,-1,-12
 0> hr,325,77040,95104,-9.00,-1,15
 0> hr,326,77038,95092,-9.00,-1,2
 0> hr,327,77044,95087,-9.00,-1,-2
 0> hr,328,77038,95090,-9.00,-1,0
 0> hr,329,77041,95091,-9.00,-1,1
 0> hr,330,77038,95083,-9.00,-1,-6
 0> hr,331,77034,95087,-8.00,-1,-2
 0> hr,332,77038,95078,-8.00,-1,-10
 0> hr,333,77046,95082,-8.00,-1,-6
 0> hr,334,77044,95079,-8.00,-1,-9
 0> hr,335,77033,95086,-8.00,-1,-1
 0> hr,336,77037,95080,-8.00,-1,-7
 0> hr,337,77036,95092,-7.00,-1,4
 0> hr,338,77037,95084,-7.00,-1,-3
 0> hr,339,77046,95096,-7.00,-1,8
 0> hr,340,77039,95076,-7.00,-1,-11
 0> hr,341,77042,95082,-7.00,-1,-5
 0> hr,342,77030,95079,-6.00,-1,-7
 0> hr,343,77040,95070,-6.00,-1,-16
 0> hr,344,77038,95085,-6.00,-1,0
